Name,Gender,DOB,POB,DOD,POD,Description,Image,ID
南簡,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433162
句龍爽,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433166
吉祥,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433220
呂天策,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433225
李瑛,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433228
賀真,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433243
李符,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433277
辛成,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433314
宋莊,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433441
丁晞顏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433476
高元亨,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433477
毛允昇,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433515
周堯敏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433523
吳迪,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433567
宋處,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433568
李從訓,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433674
王述,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433711
林彥祥,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433777
李公年,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433820
成宗道,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433821
周照,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433834
史顯祖,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433854
周左,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433906
孟顯,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433934
顧大中,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433953
支選,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433957
周儀,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433970
何青年,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433994
王洪,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434019
樓觀,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434076
毛存,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434102
方椿年,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434110
丘士元,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434112
尹大夫,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434147
范彬,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434161
任粹,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434243
南安翁,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434241
田白,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434274
任誼,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434308
周曾,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434351
李元崇,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434349
劉朴,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434356
王鼎,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434363
朱森,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434373
王凝,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434378
李用及,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434384
王端,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434395
周珏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434435
朱銳,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434436
釋覺心,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434464
李春,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434497
王元通,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434504
李德茂,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434521
李吉,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434541
左幼山,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434550
周白,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434551
李章,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434667
朱漸,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434759
王道亨,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434837
